,0
worst perimeter,0.13310023764997225
worst area,0.12805191271303082
worst concave points,0.10810734174768957
mean concave points,0.09441439125880831
worst radius,0.09063889139731521
mean radius,0.05866225824281181
mean perimeter,0.05524182553576135
mean area,0.04993761882368043
mean concavity,0.046206958685895416
worst concavity,0.035357137857065034
