Model,Accuracy,Precision,Recall,F1 Score,CV F1 Mean,CV F1 Std
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9843438445612358,0.010068837059235893
Support Vector Machine,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9772923204411024,0.014037924158185562
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9684436877471334,0.015105315589933926
